Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,Away_P1,Away_P2,Away_P3,Away_P4,Away_P5,Away_P6,Away_P7,Away_P8,Away_P9,Away_P10,Home_P1,Home_P2,Home_P3,Home_P4,Home_P5,Home_P6,Home_P7,Home_P8,Home_P9,Home_P10,Diff_P1,Diff_P2,Diff_P3,Diff_P4,Diff_P5,Diff_P6,Diff_P7,Diff_P8,Diff_P9,Diff_P10
Sat Mar 13 2021,10:00p,Indiana Pacers,,Phoenix Suns,,,1.38,1.37,1.15,0.71,0.54,0.53,0.28,-0.38,-1.35,-4.09,4.5,2.59,2.48,0.93,0.84,-0.59,-0.63,-0.74,-1.06,-1.09,-3.12,-1.22,-1.33,-0.22,-0.3,1.12,0.91,0.36,-0.29,-3
Sun Mar 14 2021,2:00p,Memphis Grizzlies,,Oklahoma City Thunder,,,2.4,2.3,1.32,0.8,0.65,0.2,0.14,-0.01,-2.56,-3.62,1.37,1.11,0.38,0.1,-0.1,-1.03,-1.51,-2.57,-3.53,-4.39,1.03,1.19,0.94,0.7,0.75,1.23,1.65,2.56,0.97,0.77
Sun Mar 14 2021,4:00p,Utah Jazz,,Golden State Warriors,,,4.07,2.86,2.08,1,0.83,0.79,0.77,-0.31,-1.48,-2.87,8,2.8,1.5,1.1,1,0.5,-0.5,-0.7,-2.39,-4.33,-3.93,0.06,0.58,-0.1,-0.17,0.29,1.27,0.39,0.91,1.46
Sun Mar 14 2021,6:30p,San Antonio Spurs,,Philadelphia 76ers,,,1.59,0.95,0.6,0.43,-0.28,-0.38,-0.61,-1.39,-1.56,-1.77,3.81,3,2.53,1.17,0.23,-0.18,-0.34,-0.95,-2.73,-2.77,-2.22,-2.05,-1.93,-0.74,-0.51,-0.2,-0.27,-0.44,1.17,1
Sun Mar 14 2021,7:00p,Miami Heat,,Orlando Magic,,,3.83,3.08,2.67,1.37,0.14,-0.32,-0.92,-1.06,-1.85,-1.97,2.57,1.07,1,0.47,-0.05,-0.34,-0.77,-2.52,-2.98,-3.45,1.26,2.01,1.67,0.9,0.19,0.02,-0.15,1.46,1.13,1.48
Sun Mar 14 2021,7:30p,Cleveland Cavaliers,,Atlanta Hawks,,,1.64,0.1,0.1,0.02,-0.31,-1.28,-1.55,-1.79,-4.38,-4.57,2.42,1.82,1.6,1.51,0.97,0.5,0.42,-1.21,-2.32,-3.53,-0.78,-1.72,-1.5,-1.49,-1.28,-1.78,-1.97,-0.58,-2.06,-1.04
Sun Mar 14 2021,8:00p,Boston Celtics,,Houston Rockets,,,3.87,3.03,2.29,1.41,1.26,-0.28,-0.92,-1.97,-2.28,-2.92,3.53,1.5,0.62,0.61,0.5,-0.1,-0.39,-0.48,-1.8,-5.51,0.34,1.53,1.67,0.8,0.76,-0.18,-0.53,-1.49,-0.48,2.59
Sun Mar 14 2021,8:00p,Portland Trail Blazers,,Minnesota Timberwolves,,,3.14,2.36,2.3,1.37,-1.07,-1.49,-1.68,-1.76,-1.76,-2.83,2.44,2.12,1.37,1,0.51,0.24,-0.15,-1.29,-1.78,-6.59,0.7,0.24,0.93,0.37,-1.58,-1.73,-1.53,-0.47,0.02,3.76
Sun Mar 14 2021,9:00p,Toronto Raptors,,Chicago Bulls,,,5.21,3.21,2.04,1.92,1.21,0.89,0.49,-0.07,-0.07,-3.95,0.49,0.21,0.04,0,-0.21,-0.4,-0.48,-0.66,-2.34,-2.84,4.72,3,2,1.92,1.42,1.29,0.97,0.59,2.27,-1.11
Sun Mar 14 2021,9:00p,Los Angeles Clippers,,New Orleans Pelicans,,,5.1,2.67,2.2,1.7,1.63,1.1,0.62,0.51,-0.71,-2.77,3.29,2.11,1.64,1.2,0.63,0.49,-0.98,-1.13,-1.6,-3.81,1.81,0.56,0.56,0.5,1,0.61,1.6,1.64,0.89,1.04
Mon Mar 15 2021,7:00p,Sacramento Kings,,Charlotte Hornets,,,1.43,1.42,-0.15,-0.29,-0.56,-0.6,-0.87,-1,-1.02,-2.04,2.11,1.9,1,-0.32,-0.55,-1.2,-1.31,-1.98,-2.54,-2.96,-0.68,-0.48,-1.15,0.03,-0.01,0.6,0.44,0.98,1.52,0.92
Mon Mar 15 2021,7:00p,Milwaukee Bucks,,Washington Wizards,,,10.3,3.63,3.11,2.83,2.8,2.08,-1.3,-1.4,-1.75,-1.9,3.04,1.81,1.5,1.16,0.79,0.6,-1.8,-2.28,-2.84,-4,7.26,1.82,1.61,1.67,2.01,1.48,0.5,0.88,1.09,2.1
Mon Mar 15 2021,8:00p,New York Knicks,,Brooklyn Nets,,,1,0.93,0.13,0.03,-0.53,-0.62,-0.67,-1.5,-1.84,-3.84,8,7.49,3.5,3.28,-0.41,-1.07,-1.16,-1.62,-1.84,-2.12,-7,-6.56,-3.37,-3.25,-0.12,0.45,0.49,0.12,0,-1.72
Mon Mar 15 2021,8:00p,San Antonio Spurs,,Detroit Pistons,,,1.59,0.95,0.6,0.43,-0.28,-0.38,-0.61,-1.39,-1.56,-1.77,2.46,0.39,0.23,0.2,-0.91,-1,-1.85,-2.09,-2.29,-3.94,-0.87,0.56,0.37,0.23,0.63,0.62,1.24,0.7,0.73,2.17
Mon Mar 15 2021,9:00p,Los Angeles Clippers,,Dallas Mavericks,,,5.1,2.67,2.2,1.7,1.63,1.1,0.62,0.51,-0.71,-2.77,6.28,3.24,1.48,1.3,0.98,0.27,0.13,0.13,-0.1,-1.73,-1.18,-0.57,0.72,0.4,0.65,0.83,0.49,0.38,-0.61,-1.04
Mon Mar 15 2021,9:00p,Indiana Pacers,,Denver Nuggets,,,1.38,1.37,1.15,0.71,0.54,0.53,0.28,-0.38,-1.35,-4.09,6.08,2,1.54,1.41,-0.25,-0.25,-0.43,-1,-2.75,-3.52,-4.7,-0.63,-0.39,-0.7,0.79,0.78,0.71,0.62,1.4,-0.57
Mon Mar 15 2021,10:00p,Memphis Grizzlies,,Phoenix Suns,,,2.4,2.3,1.32,0.8,0.65,0.2,0.14,-0.01,-2.56,-3.62,4.5,2.59,2.48,0.93,0.84,-0.59,-0.63,-0.74,-1.06,-1.09,-2.1,-0.29,-1.16,-0.13,-0.19,0.79,0.77,0.73,-1.5,-2.53
Mon Mar 15 2021,10:30p,Los Angeles Lakers,,Golden State Warriors,,,9.58,2.53,2.37,2.34,2.08,1.87,1.38,-0.58,-0.82,-2.05,8,2.8,1.5,1.1,1,0.5,-0.5,-0.7,-2.39,-4.33,1.58,-0.27,0.87,1.24,1.08,1.37,1.88,0.12,1.57,2.28
Tue Mar 16 2021,7:30p,Utah Jazz,,Boston Celtics,,,4.07,2.86,2.08,1,0.83,0.79,0.77,-0.31,-1.48,-2.87,3.87,3.03,2.29,1.41,1.26,-0.28,-0.92,-1.97,-2.28,-2.92,0.2,-0.17,-0.21,-0.41,-0.43,1.07,1.69,1.66,0.8,0.05
Tue Mar 16 2021,8:00p,Oklahoma City Thunder,,Chicago Bulls,,,1.37,1.11,0.38,0.1,-0.1,-1.03,-1.51,-2.57,-3.53,-4.39,0.49,0.21,0.04,0,-0.21,-0.4,-0.48,-0.66,-2.34,-2.84,0.88,0.9,0.34,0.1,0.11,-0.63,-1.03,-1.91,-1.19,-1.55
Tue Mar 16 2021,8:00p,Atlanta Hawks,,Houston Rockets,,,2.42,1.82,1.6,1.51,0.97,0.5,0.42,-1.21,-2.32,-3.53,3.53,1.5,0.62,0.61,0.5,-0.1,-0.39,-0.48,-1.8,-5.51,-1.11,0.32,0.98,0.9,0.47,0.6,0.81,-0.73,-0.52,1.98
Tue Mar 16 2021,8:00p,Cleveland Cavaliers,,Miami Heat,,,1.64,0.1,0.1,0.02,-0.31,-1.28,-1.55,-1.79,-4.38,-4.57,3.83,3.08,2.67,1.37,0.14,-0.32,-0.92,-1.06,-1.85,-1.97,-2.19,-2.98,-2.57,-1.35,-0.45,-0.96,-0.63,-0.73,-2.53,-2.6
Tue Mar 16 2021,8:00p,New York Knicks,,Philadelphia 76ers,,,1,0.93,0.13,0.03,-0.53,-0.62,-0.67,-1.5,-1.84,-3.84,3.81,3,2.53,1.17,0.23,-0.18,-0.34,-0.95,-2.73,-2.77,-2.81,-2.07,-2.4,-1.14,-0.76,-0.44,-0.33,-0.55,0.89,-1.07
Tue Mar 16 2021,10:00p,New Orleans Pelicans,,Portland Trail Blazers,,,3.29,2.11,1.64,1.2,0.63,0.49,-0.98,-1.13,-1.6,-3.81,3.14,2.36,2.3,1.37,-1.07,-1.49,-1.68,-1.76,-1.76,-2.83,0.15,-0.25,-0.66,-0.17,1.7,1.98,0.7,0.63,0.16,-0.98
Tue Mar 16 2021,10:30p,Minnesota Timberwolves,,Los Angeles Lakers,,,2.44,2.12,1.37,1,0.51,0.24,-0.15,-1.29,-1.78,-6.59,9.58,2.53,2.37,2.34,2.08,1.87,1.38,-0.58,-0.82,-2.05,-7.14,-0.41,-1,-1.34,-1.57,-1.63,-1.53,-0.71,-0.96,-4.54
Wed Mar 17 2021,7:00p,Toronto Raptors,,Detroit Pistons,,,5.21,3.21,2.04,1.92,1.21,0.89,0.49,-0.07,-0.07,-3.95,2.46,0.39,0.23,0.2,-0.91,-1,-1.85,-2.09,-2.29,-3.94,2.75,2.82,1.81,1.72,2.12,1.89,2.34,2.02,2.22,-0.01
Wed Mar 17 2021,7:00p,Brooklyn Nets,,Indiana Pacers,,,8,7.49,3.5,3.28,-0.41,-1.07,-1.16,-1.62,-1.84,-2.12,1.38,1.37,1.15,0.71,0.54,0.53,0.28,-0.38,-1.35,-4.09,6.62,6.12,2.35,2.57,-0.95,-1.6,-1.44,-1.24,-0.49,1.97
Wed Mar 17 2021,7:00p,Milwaukee Bucks,,Philadelphia 76ers,,,10.3,3.63,3.11,2.83,2.8,2.08,-1.3,-1.4,-1.75,-1.9,3.81,3,2.53,1.17,0.23,-0.18,-0.34,-0.95,-2.73,-2.77,6.49,0.63,0.58,1.66,2.57,2.26,-0.96,-0.45,0.98,0.87
Wed Mar 17 2021,7:00p,Sacramento Kings,,Washington Wizards,,,1.43,1.42,-0.15,-0.29,-0.56,-0.6,-0.87,-1,-1.02,-2.04,3.04,1.81,1.5,1.16,0.79,0.6,-1.8,-2.28,-2.84,-4,-1.61,-0.39,-1.65,-1.45,-1.35,-1.2,0.93,1.28,1.82,1.96
Wed Mar 17 2021,8:00p,San Antonio Spurs,,Chicago Bulls,,,1.59,0.95,0.6,0.43,-0.28,-0.38,-0.61,-1.39,-1.56,-1.77,0.49,0.21,0.04,0,-0.21,-0.4,-0.48,-0.66,-2.34,-2.84,1.1,0.74,0.56,0.43,-0.07,0.02,-0.13,-0.73,0.78,1.07
Wed Mar 17 2021,8:00p,Boston Celtics,,Cleveland Cavaliers,,,3.87,3.03,2.29,1.41,1.26,-0.28,-0.92,-1.97,-2.28,-2.92,1.64,0.1,0.1,0.02,-0.31,-1.28,-1.55,-1.79,-4.38,-4.57,2.23,2.93,2.19,1.39,1.57,1,0.63,-0.18,2.1,1.65
Wed Mar 17 2021,8:00p,Golden State Warriors,,Houston Rockets,,,8,2.8,1.5,1.1,1,0.5,-0.5,-0.7,-2.39,-4.33,3.53,1.5,0.62,0.61,0.5,-0.1,-0.39,-0.48,-1.8,-5.51,4.47,1.3,0.88,0.49,0.5,0.6,-0.11,-0.22,-0.59,1.18
Wed Mar 17 2021,9:00p,Charlotte Hornets,,Denver Nuggets,,,2.11,1.9,1,-0.32,-0.55,-1.2,-1.31,-1.98,-2.54,-2.96,6.08,2,1.54,1.41,-0.25,-0.25,-0.43,-1,-2.75,-3.52,-3.97,-0.1,-0.54,-1.73,-0.3,-0.95,-0.88,-0.98,0.21,0.56
Wed Mar 17 2021,9:00p,Miami Heat,,Memphis Grizzlies,,,3.83,3.08,2.67,1.37,0.14,-0.32,-0.92,-1.06,-1.85,-1.97,2.4,2.3,1.32,0.8,0.65,0.2,0.14,-0.01,-2.56,-3.62,1.43,0.78,1.35,0.57,-0.51,-0.52,-1.06,-1.05,0.71,1.65
Wed Mar 17 2021,9:30p,Los Angeles Clippers,,Dallas Mavericks,,,5.1,2.67,2.2,1.7,1.63,1.1,0.62,0.51,-0.71,-2.77,6.28,3.24,1.48,1.3,0.98,0.27,0.13,0.13,-0.1,-1.73,-1.18,-0.57,0.72,0.4,0.65,0.83,0.49,0.38,-0.61,-1.04
Thu Mar 18 2021,7:00p,Utah Jazz,,Washington Wizards,,,4.07,2.86,2.08,1,0.83,0.79,0.77,-0.31,-1.48,-2.87,3.04,1.81,1.5,1.16,0.79,0.6,-1.8,-2.28,-2.84,-4,1.03,1.05,0.58,-0.16,0.04,0.19,2.57,1.97,1.36,1.13
Thu Mar 18 2021,7:30p,Oklahoma City Thunder,,Atlanta Hawks,,,1.37,1.11,0.38,0.1,-0.1,-1.03,-1.51,-2.57,-3.53,-4.39,2.42,1.82,1.6,1.51,0.97,0.5,0.42,-1.21,-2.32,-3.53,-1.05,-0.71,-1.22,-1.41,-1.07,-1.53,-1.93,-1.36,-1.21,-0.86
Thu Mar 18 2021,7:30p,Orlando Magic,,New York Knicks,,,2.57,1.07,1,0.47,-0.05,-0.34,-0.77,-2.52,-2.98,-3.45,1,0.93,0.13,0.03,-0.53,-0.62,-0.67,-1.5,-1.84,-3.84,1.57,0.14,0.87,0.44,0.48,0.28,-0.1,-1.02,-1.14,0.39
Thu Mar 18 2021,10:00p,Minnesota Timberwolves,,Phoenix Suns,,,2.44,2.12,1.37,1,0.51,0.24,-0.15,-1.29,-1.78,-6.59,4.5,2.59,2.48,0.93,0.84,-0.59,-0.63,-0.74,-1.06,-1.09,-2.06,-0.47,-1.11,0.07,-0.33,0.83,0.48,-0.55,-0.72,-5.5
Thu Mar 18 2021,10:00p,New Orleans Pelicans,,Portland Trail Blazers,,,3.29,2.11,1.64,1.2,0.63,0.49,-0.98,-1.13,-1.6,-3.81,3.14,2.36,2.3,1.37,-1.07,-1.49,-1.68,-1.76,-1.76,-2.83,0.15,-0.25,-0.66,-0.17,1.7,1.98,0.7,0.63,0.16,-0.98
Thu Mar 18 2021,10:30p,Charlotte Hornets,,Los Angeles Lakers,,,2.11,1.9,1,-0.32,-0.55,-1.2,-1.31,-1.98,-2.54,-2.96,9.58,2.53,2.37,2.34,2.08,1.87,1.38,-0.58,-0.82,-2.05,-7.47,-0.63,-1.37,-2.66,-2.63,-3.07,-2.69,-1.4,-1.72,-0.91
Fri Mar 19 2021,7:30p,Sacramento Kings,,Boston Celtics,,,1.43,1.42,-0.15,-0.29,-0.56,-0.6,-0.87,-1,-1.02,-2.04,3.87,3.03,2.29,1.41,1.26,-0.28,-0.92,-1.97,-2.28,-2.92,-2.44,-1.61,-2.44,-1.7,-1.82,-0.32,0.05,0.97,1.26,0.88
Fri Mar 19 2021,7:30p,San Antonio Spurs,,Cleveland Cavaliers,,,1.59,0.95,0.6,0.43,-0.28,-0.38,-0.61,-1.39,-1.56,-1.77,1.64,0.1,0.1,0.02,-0.31,-1.28,-1.55,-1.79,-4.38,-4.57,-0.05,0.85,0.5,0.41,0.03,0.9,0.94,0.4,2.82,2.8
Fri Mar 19 2021,8:00p,Detroit Pistons,,Houston Rockets,,,2.46,0.39,0.23,0.2,-0.91,-1,-1.85,-2.09,-2.29,-3.94,3.53,1.5,0.62,0.61,0.5,-0.1,-0.39,-0.48,-1.8,-5.51,-1.07,-1.11,-0.39,-0.41,-1.41,-0.9,-1.46,-1.61,-0.49,1.57
Fri Mar 19 2021,8:00p,Golden State Warriors,,Memphis Grizzlies,,,8,2.8,1.5,1.1,1,0.5,-0.5,-0.7,-2.39,-4.33,2.4,2.3,1.32,0.8,0.65,0.2,0.14,-0.01,-2.56,-3.62,5.6,0.5,0.18,0.3,0.35,0.3,-0.64,-0.69,0.17,-0.71
Fri Mar 19 2021,8:00p,Indiana Pacers,,Miami Heat,,,1.38,1.37,1.15,0.71,0.54,0.53,0.28,-0.38,-1.35,-4.09,3.83,3.08,2.67,1.37,0.14,-0.32,-0.92,-1.06,-1.85,-1.97,-2.45,-1.71,-1.52,-0.66,0.4,0.85,1.2,0.68,0.5,-2.12
Fri Mar 19 2021,8:00p,Brooklyn Nets,,Orlando Magic,,,8,7.49,3.5,3.28,-0.41,-1.07,-1.16,-1.62,-1.84,-2.12,2.57,1.07,1,0.47,-0.05,-0.34,-0.77,-2.52,-2.98,-3.45,5.43,6.42,2.5,2.81,-0.36,-0.73,-0.39,0.9,1.14,1.33
Fri Mar 19 2021,8:00p,Utah Jazz,,Toronto Raptors,,,4.07,2.86,2.08,1,0.83,0.79,0.77,-0.31,-1.48,-2.87,5.21,3.21,2.04,1.92,1.21,0.89,0.49,-0.07,-0.07,-3.95,-1.14,-0.35,0.04,-0.92,-0.38,-0.1,0.28,-0.24,-1.41,1.08
Fri Mar 19 2021,9:00p,Chicago Bulls,,Denver Nuggets,,,0.49,0.21,0.04,0,-0.21,-0.4,-0.48,-0.66,-2.34,-2.84,6.08,2,1.54,1.41,-0.25,-0.25,-0.43,-1,-2.75,-3.52,-5.59,-1.79,-1.5,-1.41,0.04,-0.15,-0.05,0.34,0.41,0.68
Fri Mar 19 2021,10:00p,Minnesota Timberwolves,,Phoenix Suns,,,2.44,2.12,1.37,1,0.51,0.24,-0.15,-1.29,-1.78,-6.59,4.5,2.59,2.48,0.93,0.84,-0.59,-0.63,-0.74,-1.06,-1.09,-2.06,-0.47,-1.11,0.07,-0.33,0.83,0.48,-0.55,-0.72,-5.5
